,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Tax Effect Of Unusual Items,1100330.305533,-720848.056537,4370000.0,400000.0,1020164.986251,,
Tax Rate For Calcs,0.220066,0.180212,0.19,0.2,0.170027,,
Normalized EBITDA,2654000000.0,2518000000.0,2439000000.0,2376000000.0,2455000000.0,,
Total Unusual Items,5000000.0,-4000000.0,23000000.0,2000000.0,6000000.0,,
Total Unusual Items Excluding Goodwill,5000000.0,-4000000.0,23000000.0,2000000.0,6000000.0,,
Net Income From Continuing Operation Net Minority Interest,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0,,
Reconciled Depreciation,174000000.0,184000000.0,208000000.0,209000000.0,217000000.0,,
Reconciled Cost Of Revenue,525000000.0,502000000.0,472000000.0,470000000.0,446000000.0,,
EBITDA,2659000000.0,2514000000.0,2462000000.0,2378000000.0,2461000000.0,,
EBIT,2485000000.0,2330000000.0,2254000000.0,2169000000.0,2244000000.0,,
Net Interest Income,-63000000.0,198000000.0,-67000000.0,-68000000.0,-62000000.0,,
Interest Expense,63000000.0,66000000.0,67000000.0,68000000.0,62000000.0,,
Normalized Income,1885100330.305533,1859279151.943463,1753370000.0,1689400000.0,1806020164.986251,,
Net Income From Continuing And Discontinued Operation,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0,,
Total Expenses,3980000000.0,3933000000.0,3815000000.0,3764000000.0,3551000000.0,,
Total Operating Income As Reported,2418000000.0,2261000000.0,2173000000.0,2109000000.0,2163000000.0,,
Diluted Average Shares,411000000.0,417000000.0,424000000.0,429000000.0,438000000.0,,
Basic Average Shares,410000000.0,417000000.0,423000000.0,428000000.0,436000000.0,,
Diluted EPS,4.6,4.45,4.18,3.94,4.14,,
Basic EPS,4.6,4.45,4.18,3.95,4.15,,
Diluted NI Availto Com Stockholders,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0,,
Net Income Common Stockholders,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0,,
Net Income,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0,,
Net Income Including Noncontrolling Interests,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0,,
Net Income Continuous Operations,1889000000.0,1856000000.0,1772000000.0,1691000000.0,1811000000.0,,
Tax Provision,533000000.0,408000000.0,415000000.0,410000000.0,371000000.0,,
Pretax Income,2422000000.0,2264000000.0,2187000000.0,2101000000.0,2182000000.0,,
Other Income Expense,67000000.0,-195000000.0,81000000.0,60000000.0,81000000.0,,
Other Non Operating Income Expenses,62000000.0,,58000000.0,58000000.0,75000000.0,,89000000.0
Special Income Charges,,0.0,0.0,0.0,0.0,0.0,
Restructuring And Mergern Acquisition,,0.0,0.0,0.0,0.0,0.0,
Gain On Sale Of Security,5000000.0,-4000000.0,23000000.0,2000000.0,6000000.0,,
Net Non Operating Interest Income Expense,-63000000.0,198000000.0,-67000000.0,-68000000.0,-62000000.0,,
Interest Expense Non Operating,63000000.0,66000000.0,67000000.0,68000000.0,62000000.0,,
Operating Income,2418000000.0,2261000000.0,2173000000.0,2109000000.0,2163000000.0,,
Operating Expense,3316000000.0,3284000000.0,3173000000.0,3126000000.0,2929000000.0,,
Depreciation Amortization Depletion Income Statement,35000000.0,37000000.0,38000000.0,41000000.0,41000000.0,,
Depreciation And Amortization In Income Statement,35000000.0,37000000.0,38000000.0,41000000.0,41000000.0,,
Amortization,35000000.0,37000000.0,38000000.0,41000000.0,41000000.0,,
Amortization Of Intangibles Income Statement,35000000.0,37000000.0,38000000.0,41000000.0,41000000.0,,
Research And Development,1110000000.0,1098000000.0,1088000000.0,1082000000.0,1026000000.0,,
Selling General And Administration,2171000000.0,2149000000.0,2047000000.0,2003000000.0,1862000000.0,,
Selling And Marketing Expense,1708000000.0,1728000000.0,1639000000.0,1626000000.0,1495000000.0,,
General And Administrative Expense,463000000.0,421000000.0,408000000.0,377000000.0,367000000.0,,
Other Gand A,463000000.0,421000000.0,408000000.0,377000000.0,367000000.0,,
Gross Profit,5734000000.0,5545000000.0,5346000000.0,5235000000.0,5092000000.0,,
Cost Of Revenue,664000000.0,649000000.0,642000000.0,638000000.0,622000000.0,,
Total Revenue,6398000000.0,6194000000.0,5988000000.0,5873000000.0,5714000000.0,,
Operating Revenue,6398000000.0,6194000000.0,5988000000.0,5873000000.0,5714000000.0,,
