,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,136843607.305936,510000.0,440000.0,-21780000.0,-28450704.225352
Tax Rate For Calcs,0.260654,0.17,0.22,0.22,0.140845
Normalized EBITDA,2750000000.0,3296000000.0,3151000000.0,2920000000.0,3197000000.0
Total Unusual Items,525000000.0,3000000.0,2000000.0,-99000000.0,-202000000.0
Total Unusual Items Excluding Goodwill,525000000.0,3000000.0,2000000.0,-99000000.0,-202000000.0
Net Income From Continuing Operation Net Minority Interest,1943000000.0,2086000000.0,1887000000.0,1541000000.0,1708000000.0
Reconciled Depreciation,1120000000.0,851000000.0,817000000.0,843000000.0,877000000.0
Reconciled Cost Of Revenue,2508000000.0,2255000000.0,2242000000.0,2265000000.0,2217000000.0
EBITDA,3275000000.0,3299000000.0,3153000000.0,2821000000.0,2995000000.0
EBIT,2155000000.0,2448000000.0,2336000000.0,1978000000.0,2118000000.0
Normalized Income,1554843607.305936,2083510000.0,1885440000.0,1618220000.0,1881549295.774648
Net Income From Continuing And Discontinued Operation,1943000000.0,2086000000.0,1887000000.0,1541000000.0,1708000000.0
Total Expenses,9046000000.0,7811000000.0,7900000000.0,7851000000.0,7875000000.0
Total Operating Income As Reported,1869000000.0,2188000000.0,2332000000.0,1942000000.0,1820000000.0
Diluted Average Shares,940000000.0,952000000.0,962000000.0,970000000.0,974000000.0
Basic Average Shares,935000000.0,948000000.0,956000000.0,960000000.0,959000000.0
Diluted EPS,2.07,2.19,1.96,1.59,1.75
Basic EPS,2.08,2.2,1.97,1.61,1.78
Diluted NI Availto Com Stockholders,1943000000.0,2086000000.0,1887000000.0,1541000000.0,1708000000.0
Net Income Common Stockholders,1943000000.0,2086000000.0,1887000000.0,1541000000.0,1708000000.0
Net Income,1943000000.0,2086000000.0,1887000000.0,1541000000.0,1708000000.0
Net Income Including Noncontrolling Interests,1943000000.0,2086000000.0,1887000000.0,1541000000.0,1708000000.0
Net Income Continuous Operations,1943000000.0,2086000000.0,1887000000.0,1541000000.0,1708000000.0
Tax Provision,685000000.0,426000000.0,519000000.0,433000000.0,280000000.0
Pretax Income,2628000000.0,2512000000.0,2406000000.0,1974000000.0,1988000000.0
Other Income Expense,473000000.0,64000000.0,70000000.0,-4000000.0,-130000000.0
Other Non Operating Income Expenses,-52000000.0,61000000.0,68000000.0,95000000.0,72000000.0
Special Income Charges,-480000000.0,-429000000.0,-90000000.0,-83000000.0,-448000000.0
Write Off,194000000.0,169000000.0,86000000.0,47000000.0,150000000.0
Restructuring And Mergern Acquisition,286000000.0,260000000.0,4000000.0,36000000.0,298000000.0
Gain On Sale Of Security,1005000000.0,432000000.0,92000000.0,-16000000.0,246000000.0
Operating Income,2155000000.0,2448000000.0,2336000000.0,1978000000.0,2118000000.0
Operating Expense,6538000000.0,5556000000.0,5658000000.0,5586000000.0,5658000000.0
Research And Development,1619000000.0,1433000000.0,1481000000.0,1460000000.0,1420000000.0
Selling General And Administration,3924000000.0,4123000000.0,4177000000.0,4126000000.0,4238000000.0
Selling And Marketing Expense,3022000000.0,3456000000.0,3443000000.0,3429000000.0,3471000000.0
General And Administrative Expense,902000000.0,667000000.0,734000000.0,697000000.0,767000000.0
Other Gand A,902000000.0,667000000.0,734000000.0,697000000.0,767000000.0
Gross Profit,8693000000.0,8004000000.0,7994000000.0,7564000000.0,7776000000.0
Cost Of Revenue,2508000000.0,2255000000.0,2242000000.0,2265000000.0,2217000000.0
Total Revenue,11201000000.0,10259000000.0,10236000000.0,9829000000.0,9993000000.0
Operating Revenue,11201000000.0,10259000000.0,10236000000.0,9829000000.0,9993000000.0
